Product,Predicted_Q4_Sales,Suggested_Slab
1K PU,-15,-10.5
2K PU,-2148.5,-1503.95
2K PU ITALIAN,1152.5,806.75
2K PU WHITE GLOSS,376,263.2
2K PU WHITE SATIN MATT,664.5,465.15
2K PU WHITE SEALER,1698,1188.6
B.S WOW WHITE,22112.5,15478.75
BEAUTY CEILING,-138,-96.6
BEAUTY GOLD,39508,27655.6
BEAUTY GOLD WASHABLE,62411.5,43688.05
BEAUTY LITTLE MASTER,10876,7613.2
BEAUTY LITTLE MASTER ACRY.EMUL.WHITE,-91,-63.7
BEAUTY SHEEN,83920.5,58744.35
BEAUTY SMOOTH,113868.5,79707.95
BEAUTY SMOOTH NXT,4856.5,3399.55
BLM SHEEN,18423,12896.1
CRACK FILLER,-181,-126.7
ECO CLEAN,155.5,108.85
EXCEL ANTIPEEL,207492.5,145244.75
EXCEL ANTIPEEL WOW WHITE,18789.5,13152.65
EXCEL EVERLAST,67187.5,47031.25
EXCEL MICA MARBLE,60804.5,42563.15
EXCEL MM S&S,89894,62925.8
EXCEL MM S&S NXT,28530.5,19971.35
EXCEL NO DUST WHITE,84634,59243.8
EXCEL NXT,24017.5,16812.25
EXCEL TOPGUARD,10728.5,7509.95
EXCEL TOTAL,103755.5,72628.85
EXCEL VIRUS GUARD,10,7
GLITTER,720,504
GLORIA,-12853,-8997.1
GLORIA GLOSSY NXT,-443,-310.1
GLORIA MATT NXT,730.5,511.35
GLORIA SEALER NXT,3.5,2.45
ICRO ACRYLIC,801.5,561.05
ICRO INSULATOR,2826.5,1978.55
ICRO POLYSTER,-23,-16.1
ICRO PU BLACK,196,137.2
ICRO PU CLEAR,12748.5,8923.95
ICRO PU WHITE,6834,4783.8
ICRO THINNER,7369.5,5158.65
ICRO WATER BASE,461,322.7
IDEAZ,-2.27E-13,-1.59E-13
IMP HD NXT,4512.5,3158.75
IMP KASH MATT,11097.5,7768.25
IMP KASHMIR,9023,6316.1
IMP SHEEN,17333,12133.1
IMPRESSIONS GLITTER,-3,-2.1
IMPRESSIONS HD,45877.5,32114.25
IMPRESSIONS UHD,296.5,207.55
KANSAI SELECT ARABESQUE,10.5,7.35
KANSAI SELECT BLUHM,1.5,1.05
KANSAI SELECT NYLUM,16,11.2
KANSAI SELECT POSITANO,153.5,107.45
KANSAI SELECT SHIKISAI,5,3.5
KANSAI SELECT TRACCE,121.6666667,85.16666667
KASHMIR HS,37117,25981.9
LITTLE MASTER,194302,136011.4
MELAMINE,-313.5,-219.45
METALLIC PAINT WATER BASED,-103.5,-72.45
NC & CAL,44,30.8
NC SANDING SEALER,-237,-165.9
NODAMP TERR,-680,-476
NODAMP+,24434,17103.8
NP DAMP PROTECT,-100,-70
PEARLS EMULSIONS,643,450.1
PEARLS LUSTER WATERBASED,2446,1712.2
PERMA DAMP,115097,80567.9
PERMA DAMP LOCK,3084,2158.8
PERMA NO HEAT,648,453.6
PERMA NODAMP,124521.5,87165.05
PERMA WP PRE PUTTY,21560,15092
POLYESTER,-365,-255.5
PRIMER,315090,220563
PU CLEAR SEALER,1360,952
PU CLEAR SEALER /MATT O HARDENER,360,252
PU THINNER,-7243.5,-5070.45
S P WOW WHITE,45601,31920.7
SUPER 2K,19461,13622.7
SURAKSHA ADVANCE,4,2.8
SURAKSHA DUST RESIST,1677,1173.9
SURAKSHA EXT EMULSION,283798,198658.6
SURAKSHA PLUS,315463.5,220824.45
SURAKSHA PLUS NXT,33590,23513
SURAKSHA SHEEN,132882,93017.4
THINNER,-238,-166.6
UNIVERSAL PU PRIMER,2586.5,1810.55
WATERPROOF LATEX,203.5,142.45
WATERPROOF POLYMER,3115,2180.5
WOOD FILLER,496.5,347.55
WOOD STAINS,62,43.4
WTO,172,120.4
B.S NXT,3373,2361.1
BGW NXT,4245,2971.5
EXCEL SHEEN,38683.33333,27078.33333
NEU INT LATEX,19551.66667,13686.16667
MMSS WOW,1180,826
NO DAMP NXT,1424,996.8
