Product,Predicted_Q4_Volume,Estimated_DBT
1K PU,-15,-75
2K PU,-2148.5,-10742.5
2K PU ITALIAN,1152.5,5762.5
2K PU WHITE GLOSS,376,1880
2K PU WHITE SATIN MATT,664.5,3322.5
2K PU WHITE SEALER,1698,8490
B.S WOW WHITE,22112.5,110562.5
BEAUTY CEILING,-138,-690
BEAUTY GOLD,39508,197540
BEAUTY GOLD WASHABLE,62411.5,312057.5
BEAUTY LITTLE MASTER,10876,54380
BEAUTY LITTLE MASTER ACRY.EMUL.WHITE,-91,-455
BEAUTY SHEEN,83920.5,419602.5
BEAUTY SMOOTH,113868.5,569342.5
BEAUTY SMOOTH NXT,4856.5,24282.5
BLM SHEEN,18423,92115
CRACK FILLER,-181,-905
ECO CLEAN,155.5,777.5
EXCEL ANTIPEEL,207492.5,1037462.5
EXCEL ANTIPEEL WOW WHITE,18789.5,93947.5
EXCEL EVERLAST,67187.5,335937.5
EXCEL MICA MARBLE,60804.5,304022.5
EXCEL MM S&S,89894,449470
EXCEL MM S&S NXT,28530.5,142652.5
EXCEL NO DUST WHITE,84634,423170
EXCEL NXT,24017.5,120087.5
EXCEL TOPGUARD,10728.5,53642.5
EXCEL TOTAL,103755.5,518777.5
EXCEL VIRUS GUARD,10,50
GLITTER,720,3600
GLORIA,-12853,-64265
GLORIA GLOSSY NXT,-443,-2215
GLORIA MATT NXT,730.5,3652.5
GLORIA SEALER NXT,3.5,17.5
ICRO ACRYLIC,801.5,4007.5
ICRO INSULATOR,2826.5,14132.5
ICRO POLYSTER,-23,-115
ICRO PU BLACK,196,980
ICRO PU CLEAR,12748.5,63742.5
ICRO PU WHITE,6834,34170
ICRO THINNER,7369.5,36847.5
ICRO WATER BASE,461,2305
IDEAZ,-2.27E-13,-1.14E-12
IMP HD NXT,4512.5,22562.5
IMP KASH MATT,11097.5,55487.5
IMP KASHMIR,9023,45115
IMP SHEEN,17333,86665
IMPRESSIONS GLITTER,-3,-15
IMPRESSIONS HD,45877.5,229387.5
IMPRESSIONS UHD,296.5,1482.5
KANSAI SELECT ARABESQUE,10.5,52.5
KANSAI SELECT BLUHM,1.5,7.5
KANSAI SELECT NYLUM,16,80
KANSAI SELECT POSITANO,153.5,767.5
KANSAI SELECT SHIKISAI,5,25
KANSAI SELECT TRACCE,121.6666667,608.3333333
KASHMIR HS,37117,185585
LITTLE MASTER,194302,971510
MELAMINE,-313.5,-1567.5
METALLIC PAINT WATER BASED,-103.5,-517.5
NC & CAL,44,220
NC SANDING SEALER,-237,-1185
NODAMP TERR,-680,-3400
NODAMP+,24434,122170
NP DAMP PROTECT,-100,-500
PEARLS EMULSIONS,643,3215
PEARLS LUSTER WATERBASED,2446,12230
PERMA DAMP,115097,575485
PERMA DAMP LOCK,3084,15420
PERMA NO HEAT,648,3240
PERMA NODAMP,124521.5,622607.5
PERMA WP PRE PUTTY,21560,107800
POLYESTER,-365,-1825
PRIMER,315090,1575450
PU CLEAR SEALER,1360,6800
PU CLEAR SEALER /MATT O HARDENER,360,1800
PU THINNER,-7243.5,-36217.5
S P WOW WHITE,45601,228005
SUPER 2K,19461,97305
SURAKSHA ADVANCE,4,20
SURAKSHA DUST RESIST,1677,8385
SURAKSHA EXT EMULSION,283798,1418990
SURAKSHA PLUS,315463.5,1577317.5
SURAKSHA PLUS NXT,33590,167950
SURAKSHA SHEEN,132882,664410
THINNER,-238,-1190
UNIVERSAL PU PRIMER,2586.5,12932.5
WATERPROOF LATEX,203.5,1017.5
WATERPROOF POLYMER,3115,15575
WOOD FILLER,496.5,2482.5
WOOD STAINS,62,310
WTO,172,860
B.S NXT,3373,16865
BGW NXT,4245,21225
EXCEL SHEEN,38683.33333,193416.6667
NEU INT LATEX,19551.66667,97758.33333
MMSS WOW,1180,5900
NO DAMP NXT,1424,7120
